Found path: /home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis.x86_64
Mono path[0] = '/home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis_Data/Managed'
Mono config path = '/home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
Logging to /home/bobo258/.config/unity3d/Unity Technologies/Unity Environment/Player.log
Number of agents: 2
Size of each action: 2
There are 2 agents. Each observes a state with length: 24
The state for the first agent looks like: [ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -6.65278625 -1.5
 -0.          0.          6.83172083  6.         -0.          0.        ]
[1] Average Score: 0.0000 Cur: 0.0000
[2] Average Score: 0.0000 Cur: 0.0000
[3] Average Score: 0.0000 Cur: 0.0000
[4] Average Score: 0.0000 Cur: 0.0000
[5] Average Score: 0.0200 Cur: 0.1000
[6] Average Score: 0.0167 Cur: 0.0000
[7] Average Score: 0.0143 Cur: 0.0000
[8] Average Score: 0.0125 Cur: 0.0000
[9] Average Score: 0.0111 Cur: 0.0000
[10] Average Score: 0.0100 Cur: 0.0000
[11] Average Score: 0.0091 Cur: 0.0000
[12] Average Score: 0.0083 Cur: 0.0000
[13] Average Score: 0.0077 Cur: 0.0000
[14] Average Score: 0.0071 Cur: 0.0000
[15] Average Score: 0.0067 Cur: 0.0000
[16] Average Score: 0.0063 Cur: 0.0000
[17] Average Score: 0.0059 Cur: 0.0000
[18] Average Score: 0.0056 Cur: 0.0000
[19] Average Score: 0.0053 Cur: 0.0000
[20] Average Score: 0.0050 Cur: 0.0000
[21] Average Score: 0.0048 Cur: 0.0000
[22] Average Score: 0.0091 Cur: 0.1000
[23] Average Score: 0.0087 Cur: 0.0000
[24] Average Score: 0.0083 Cur: 0.0000
[25] Average Score: 0.0080 Cur: 0.0000
[26] Average Score: 0.0077 Cur: 0.0000
[27] Average Score: 0.0074 Cur: 0.0000
[28] Average Score: 0.0071 Cur: 0.0000
[29] Average Score: 0.0069 Cur: 0.0000
[30] Average Score: 0.0067 Cur: 0.0000
[31] Average Score: 0.0065 Cur: 0.0000
[32] Average Score: 0.0063 Cur: 0.0000
[33] Average Score: 0.0061 Cur: 0.0000
[34] Average Score: 0.0059 Cur: 0.0000
[35] Average Score: 0.0057 Cur: 0.0000
[36] Average Score: 0.0056 Cur: 0.0000
[37] Average Score: 0.0054 Cur: 0.0000
[38] Average Score: 0.0053 Cur: 0.0000
[39] Average Score: 0.0051 Cur: 0.0000
[40] Average Score: 0.0050 Cur: 0.0000
[41] Average Score: 0.0049 Cur: 0.0000
[42] Average Score: 0.0048 Cur: 0.0000
[43] Average Score: 0.0047 Cur: 0.0000
[44] Average Score: 0.0045 Cur: 0.0000
[45] Average Score: 0.0067 Cur: 0.1000
[46] Average Score: 0.0065 Cur: 0.0000
[47] Average Score: 0.0064 Cur: 0.0000
[48] Average Score: 0.0063 Cur: 0.0000
[49] Average Score: 0.0061 Cur: 0.0000
[50] Average Score: 0.0060 Cur: 0.0000
[51] Average Score: 0.0059 Cur: 0.0000
[52] Average Score: 0.0058 Cur: 0.0000
[53] Average Score: 0.0057 Cur: 0.0000
[54] Average Score: 0.0056 Cur: 0.0000
[55] Average Score: 0.0055 Cur: 0.0000
[56] Average Score: 0.0054 Cur: 0.0000
[57] Average Score: 0.0053 Cur: 0.0000
[58] Average Score: 0.0052 Cur: 0.0000
[59] Average Score: 0.0051 Cur: 0.0000
[60] Average Score: 0.0050 Cur: 0.0000
[61] Average Score: 0.0049 Cur: 0.0000
[62] Average Score: 0.0048 Cur: 0.0000
[63] Average Score: 0.0048 Cur: 0.0000
[64] Average Score: 0.0047 Cur: 0.0000
[65] Average Score: 0.0046 Cur: 0.0000
[66] Average Score: 0.0045 Cur: 0.0000
[67] Average Score: 0.0045 Cur: 0.0000
[68] Average Score: 0.0044 Cur: 0.0000
[69] Average Score: 0.0043 Cur: 0.0000
[70] Average Score: 0.0043 Cur: 0.0000
[71] Average Score: 0.0042 Cur: 0.0000
[72] Average Score: 0.0042 Cur: 0.0000
[73] Average Score: 0.0041 Cur: 0.0000
[74] Average Score: 0.0041 Cur: 0.0000
[75] Average Score: 0.0040 Cur: 0.0000
[76] Average Score: 0.0039 Cur: 0.0000
[77] Average Score: 0.0039 Cur: 0.0000
[10] actor_loss: 0.008926593698561192, critic_loss: 0.005056045949459076
[10] actor_loss: 0.03118549846112728, critic_loss: 0.007126792334020138
[78] Average Score: 0.0038 Cur: 0.0000
[79] Average Score: 0.0038 Cur: 0.0000
[80] Average Score: 0.0038 Cur: 0.0000
[81] Average Score: 0.0037 Cur: 0.0000
[82] Average Score: 0.0037 Cur: 0.0000
[83] Average Score: 0.0036 Cur: 0.0000
[84] Average Score: 0.0036 Cur: 0.0000
[85] Average Score: 0.0035 Cur: 0.0000
[86] Average Score: 0.0035 Cur: 0.0000
[87] Average Score: 0.0034 Cur: 0.0000
[88] Average Score: 0.0034 Cur: 0.0000
[89] Average Score: 0.0034 Cur: 0.0000
[90] Average Score: 0.0033 Cur: 0.0000
[91] Average Score: 0.0033 Cur: 0.0000
[92] Average Score: 0.0033 Cur: 0.0000
[93] Average Score: 0.0032 Cur: 0.0000
[94] Average Score: 0.0032 Cur: 0.0000
[95] Average Score: 0.0032 Cur: 0.0000
[96] Average Score: 0.0031 Cur: 0.0000
[97] Average Score: 0.0031 Cur: 0.0000
[98] Average Score: 0.0031 Cur: 0.0000
[99] Average Score: 0.0030 Cur: 0.0000
[100] Average Score: 0.0030 Cur: 0.0000
[101] Average Score: 0.0030 Cur: 0.0000
[102] Average Score: 0.0030 Cur: 0.0000
[103] Average Score: 0.0030 Cur: 0.0000
[104] Average Score: 0.0030 Cur: 0.0000
[105] Average Score: 0.0020 Cur: 0.0000
[20] actor_loss: 0.001753659569658339, critic_loss: 0.0006521194009110332
[20] actor_loss: -0.0013343945611268282, critic_loss: 0.001222509192302823
[106] Average Score: 0.0020 Cur: 0.0000
[107] Average Score: 0.0020 Cur: 0.0000
[108] Average Score: 0.0020 Cur: 0.0000
[109] Average Score: 0.0020 Cur: 0.0000
[110] Average Score: 0.0020 Cur: 0.0000
[111] Average Score: 0.0020 Cur: 0.0000
[112] Average Score: 0.0020 Cur: 0.0000
[113] Average Score: 0.0020 Cur: 0.0000
[114] Average Score: 0.0020 Cur: 0.0000
[115] Average Score: 0.0020 Cur: 0.0000
[116] Average Score: 0.0020 Cur: 0.0000
[117] Average Score: 0.0020 Cur: 0.0000
[118] Average Score: 0.0020 Cur: 0.0000
[119] Average Score: 0.0020 Cur: 0.0000
[120] Average Score: 0.0020 Cur: 0.0000
[121] Average Score: 0.0020 Cur: 0.0000
[122] Average Score: 0.0010 Cur: 0.0000
[123] Average Score: 0.0010 Cur: 0.0000
[124] Average Score: 0.0010 Cur: 0.0000
[125] Average Score: 0.0010 Cur: 0.0000
[126] Average Score: 0.0010 Cur: 0.0000
[127] Average Score: 0.0010 Cur: 0.0000
[128] Average Score: 0.0010 Cur: 0.0000
[129] Average Score: 0.0010 Cur: 0.0000
[130] Average Score: 0.0010 Cur: 0.0000
[131] Average Score: 0.0010 Cur: 0.0000
[30] actor_loss: 0.0005504105938598514, critic_loss: 0.0003682284150272608
[30] actor_loss: -0.013290278613567352, critic_loss: 0.0004530187579803169
[132] Average Score: 0.0010 Cur: 0.0000
[133] Average Score: 0.0010 Cur: 0.0000
[134] Average Score: 0.0010 Cur: 0.0000
[135] Average Score: 0.0010 Cur: 0.0000
[136] Average Score: 0.0010 Cur: 0.0000
[137] Average Score: 0.0010 Cur: 0.0000
[138] Average Score: 0.0010 Cur: 0.0000
[139] Average Score: 0.0010 Cur: 0.0000
